Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G51871;4/6/2010;1324;HANCOCK STREET;BROOKLYN;11237;KNICKERBOCKER AVENUE / IRVING AVENUE;;304;4;83;37;FALSE;1009468;192143;No;No;No;FALSE
G84575;3/20/2012;120;AVENUE M;BROOKLYN;11230;MC DONALD AVENUE / EAST    2 STREET;;312;12;66;44;FALSE;991516;163791;No;No;No;FALSE
G137055;8/18/2015;3305;3 AVENUE;BRONX;10456;EAST 164 STREET / WEIHER COURT;;203;03;42;16;FALSE;1009624;240185;No;No;No;FALSE
G137126;8/20/2015;1704;BATH AVENUE;BROOKLYN;11214;17 AVENUE / BAY   16 STREET;;311;11;62;43;FALSE;981924;159660;No;No;No;FALSE
G137328;8/27/2015;709;53 STREET;BROOKLYN;11220;7 AVENUE / 8 AVENUE;;307;07;72;38;FALSE;982275;172705;No;No;No;FALSE
G137329;8/27/2015;464;53 STREET;BROOKLYN;11220;4 AVENUE / 5 AVENUE;;307;07;72;38;FALSE;980687;173762;Yes;No;No;FALSE
G137330;8/27/2015;466;53 STREET;BROOKLYN;11220;4 AVENUE / 5 AVENUE;;307;07;72;38;FALSE;980718;173737;No;No;No;FALSE
G137336;8/27/2015;262;WEST   15 STREET;MANHATTAN;10011;7 AVENUE / 8 AVENUE;;104;04;10;03;FALSE;983746;208964;No;No;No;FALSE
G137339;8/27/2015;165;MERCER STREET;MANHATTAN;10012;PRINCE STREET / WEST HOUSTON STREET;;102;2;1;01;FALSE;984764;203606;No;No;No;FALSE
G137340;8/27/2015;10;LIBERTY STREET;MANHATTAN;10005;GOLD STREET / WILLIAM STREET;;101;01;1;01;FALSE;981978;196988;No;No;No;FALSE
G137341;8/27/2015;837;EAST   49 STREET;BROOKLYN;11203;AVENUE D / FOSTER AVENUE;;317;17;67;45;FALSE;1003690;172811;No;No;No;FALSE
G137343;8/27/2015;936;SENECA AVENUE;QUEENS;11385;HANCOCK STREET / WEIRFIELD STREET;;405;05;104;34;FALSE;1011084;194277;No;No;Yes;FALSE
G137345;8/27/2015;442;GRAND STREET;BROOKLYN;11211;KEAP STREET / GRAND ST EXTENSION;;301;1;90;34;FALSE;997291;198347;No;No;No;FALSE
G137347;8/27/2015;883;LEXINGTON AVENUE;BROOKLYN;11221;PATCHEN AVENUE / BEND;;303;3;81;41;FALSE;1004919;190976;Yes;No;No;FALSE
G137354;8/27/2015;43;ESSEX STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;;103;3;7;01;FALSE;987119;200269;Yes;No;No;FALSE
G137356;8/27/2015;504;GRAND STREET;MANHATTAN;10002;EAST BROADWAY / COLUMBIA STREET;;103;03;7;01;FALSE;989287;199791;Yes;No;No;FALSE
G137357;8/27/2015;92;RIVINGTON STREET;MANHATTAN;10002;ORCHARD STREET / LUDLOW STREET;;103;3;7;01;FALSE;987394;201719;Yes;No;No;FALSE
G137363;8/28/2015;2071;BATHGATE AVENUE;BRONX;10457;EAST  179 STREET / EAST  180 STREET;;206;06;48;15;FALSE;1013200;249193;No;No;No;FALSE
G137364;8/28/2015;176;BORINQUEN PLACE;BROOKLYN;11211;KEAP STREET / SOUTH    1 STREET;;301;1;90;34;FALSE;997229;198141;Yes;No;No;FALSE
G137366;8/28/2015;50;BOWERY;MANHATTAN;10013;MANHATTAN BRIDGE / CANAL STREET;;103;03;5;01;FALSE;985129;200132;No;No;No;FALSE
G137369;8/28/2015;94;JOHN STREET;STATEN ISLAND;10302;RICHMOND TERRACE / BEND;;501;01;121;49;FALSE;944417;171226;No;No;No;FALSE
G137370;8/28/2015;912;MANHATTAN AVENUE;BROOKLYN;11222;GREENPOINT AVENUE / KENT STREET;;301;01;94;33;FALSE;996994;205462;No;No;No;FALSE
G137371;8/28/2015;6719;13 AVENUE;BROOKLYN;11219;67 STREET / OVINGTON AVENUE;;310;10;68;43;FALSE;983450;166718;Yes;No;No;FALSE
G137374;8/28/2015;4322;8 AVENUE;BROOKLYN;11232;43 STREET / 44 STREET;;307;7;72;38;FALSE;984168;174172;Yes;No;No;FALSE
