Station_Name,Line,Station_Name,Station_Longitude,Station_Latitude,total_swipes,ADA,Sen_ADA,pADA,pSenADA,tot_routes,ADA,elevator,escalators,bus_connection,parks,libraries,hospitals,
125th St,8 Avenue,125th St,-73.952343,40.811109,2071558,27093,68363,0.013078562,0.033000766,4,FALSE,1,0,6,6,2,0,
125th St & Lexington Ave,Lexington,125th St,-73.937594,40.804138,2040879,31319,78971,0.015345839,0.038694602,3,TRUE,1,0,7,4,2,0,
135th St & Lenox,Lenox,135th St,-73.94077,40.814229,1078345,16295,46592,0.015111119,0.043206951,2,TRUE,1,0,3,8,1,0,
168th St,Broadway-7th Ave,168th St,-73.940133,40.840556,1821897,14797,66502,0.008121754,0.036501515,3,FALSE,1,0,5,4,2,1,
175th St,8 Avenue,175th St,-73.939704,40.847391,939532,6891,33712,0.007334503,0.035881694,1,TRUE,1,0,10,5,2,0,
181st St & Fort Wasington Ave,8 Avenue,181st St,-73.937969,40.851695,814161,7884,37207,0.009683588,0.045699806,1,FALSE,1,1,2,8,2,0,
181st St & St Nicholas Ave,Broadway-7th Ave,181st St,-73.933596,40.849505,801125,9201,31566,0.011485099,0.039402091,1,FALSE,1,0,7,6,2,0,
190th St,8 Avenue,190th St,-73.93418,40.859022,346583,4252,16643,0.012268346,0.048020243,1,FALSE,1,0,2,4,0,0,
191st St,Broadway-7th Ave,191st St,-73.929412,40.855225,632153,5592,25860,0.00884596,0.040907818,1,FALSE,1,0,2,4,1,0,
34th St & 7th Ave,Broadway-7th Ave,34th St,-73.991057,40.750373,2473673,16025,81668,0.006478221,0.033014873,3,TRUE,1,1,25,3,2,0,
34th St & 8th Ave,8 Avenue,34th St,-73.993391,40.752287,6015183,38413,169430,0.006386007,0.028167057,3,TRUE,1,0,5,6,2,0,
47-50th Sts Rockefeller Center,6 Avenue,47-50th Sts Rockefeller Center,-73.981329,40.758663,4272848,23485,120190,0.005496334,0.02812878,4,TRUE,1,0,18,3,2,0,
50th St,8 Avenue,50th St,-73.985984,40.762456,1529007,11258,42440,0.007362949,0.027756577,2,TRUE,1,1,3,4,1,0,
51st St,Lexington,51st St,-73.97192,40.757107,1556684,8378,48021,0.005381953,0.030848265,3,TRUE,1,1,5,4,2,0,
57th St & 7th Ave,Broadway,57th St,-73.980658,40.764664,2167200,16158,78706,0.007455703,0.036316907,3,FALSE,1,0,4,4,1,0,
59th St-Columbus Circle,Broadway-7th Ave,59th St-Columbus Circle,-73.981929,40.768247,5330527,40121,182405,0.007526648,0.034218943,7,TRUE,1,1,0,5,2,1,
66th St-Lincoln Center,Broadway-7th Ave,66th St-Lincoln Center,-73.982209,40.77344,1764824,19600,111106,0.011105923,0.062955853,1,TRUE,1,0,7,10,2,0,
72nd St & Broadway,Broadway-7th Ave,72nd St,-73.98197,40.778453,2994505,34846,168523,0.011636648,0.056277415,3,TRUE,1,0,7,3,2,0,
8th Av,Canarsie,8th Av,-74.002578,40.739777,3341827,21235,79356,0.006354309,0.023746292,4,TRUE,1,0,4,8,3,0,
96th St & Broadway,Broadway-7th Ave,96th St,-73.972323,40.793919,2905004,45296,185533,0.015592405,0.063866693,3,TRUE,1,0,3,5,1,1,
Bowling Green,Lexington,Bowling Green,-74.014065,40.704817,1858680,13283,52671,0.00714647,0.028337853,2,TRUE,1,1,8,10,0,0,
Broadway-Lafayette St,6 Avenue,Broadway-Lafayette St,-73.996204,40.725297,1775237,7708,33263,0.004341955,0.018737216,5,FALSE,1,1,8,14,1,0,
Brooklyn Bridge-City Hall,Lexington,Brooklyn Bridge-City Hall,-74.004806,40.712868,2398329,18952,81156,0.007902169,0.03383856,5,TRUE,1,0,18,8,3,0, 
Canal St,Lexington,Canal St,-74.000193,40.718803,1589147,32246,97915,0.020291389,0.061614816,7,TRUE,1,0,1,7,2,0,
Chambers St,Broadway-7th Ave,Chambers St,-74.009266,40.715478,1605503,10318,44194,0.006426646,0.027526576,5,TRUE,1,0,10,11,2,0,
Dyckman St,Broadway-7th Ave,Dyckman St,-73.925536,40.860531,534000,6323,23951,0.011840824,0.04485206,1,FALSE,1,0,1,4,1,0,
Fulton St,Clark,Fulton St,-74.006571,40.709416,2979354,13743,61650,0.004612745,0.020692405,8,FALSE,1,1,7,4,2,1,
Grand Central-42nd St,Lexington,Grand Central-42nd St,-73.976848,40.751776,9953282,41508,270887,0.004170283,0.027215847,5,TRUE,1,1,9,3,5,1,
Inwood - 207th St,8 Avenue,Inwood - 207th St,-73.919899,40.868072,628787,8460,27676,0.013454477,0.044014905,1,TRUE,1,0,5,4,1,0,
Lexington Av-53rd St,Queens Boulevard,Lexington Av-53rd St,-73.969055,40.757552,528017,4602,15820,0.008715628,0.029961157,3,TRUE,1,1,8,4,3,0,
Times Square,Broadway-7th Ave,Times Square,-73.987495,40.75529,7433471,42617,185688,0.005733123,0.024979986,11,TRUE,1,1,10,2,2,0,
Union Square,Broadway,Union Square,-73.990568,40.735736,479896,2542,13001,0.005296981,0.027091286,7,TRUE,1,1,5,7,4,2,
West 4th St,8 Avenue,West 4th St,-74.000495,40.732338,3233907,19126,93085,0.005914208,0.028784068,7,TRUE,1,1,1,16,3,0,
