Station_Name,Line,Station_Name,Station_Longitude,Station_Latitude,total_swipes,ADA,Sen_ADA,pADA,pSenADA,tot_routes,ADA,elevator,escalators,bus_connection,parks,libraries,hospitals
181st St & Fort Wasington Ave,8 Avenue,181st St,-73.937969,40.851695,814161,7884,37207,0.009683588,0.045699806,1,FALSE,1,1,2,8,2,0
34th St & 7th Ave,Broadway-7th Ave,34th St,-73.991057,40.750373,2473673,16025,81668,0.006478221,0.033014873,3,TRUE,1,1,25,3,2,0
50th St,8 Avenue,50th St,-73.985984,40.762456,1529007,11258,42440,0.007362949,0.027756577,2,TRUE,1,1,3,4,1,0
51st St,Lexington,51st St,-73.97192,40.757107,1556684,8378,48021,0.005381953,0.030848265,3,TRUE,1,1,5,4,2,0
59th St-Columbus Circle,Broadway-7th Ave,59th St-Columbus Circle,-73.981929,40.768247,5330527,40121,182405,0.007526648,0.034218943,7,TRUE,1,1,0,5,2,1
Bowling Green,Lexington,Bowling Green,-74.014065,40.704817,1858680,13283,52671,0.00714647,0.028337853,2,TRUE,1,1,8,10,0,0
Broadway-Lafayette St,6 Avenue,Broadway-Lafayette St,-73.996204,40.725297,1775237,7708,33263,0.004341955,0.018737216,5,FALSE,1,1,8,14,1,0
Fulton St,Clark,Fulton St,-74.006571,40.709416,2979354,13743,61650,0.004612745,0.020692405,8,FALSE,1,1,7,4,2,1
Grand Central-42nd St,Lexington,Grand Central-42nd St,-73.976848,40.751776,9953282,41508,270887,0.004170283,0.027215847,5,TRUE,1,1,9,3,5,1
Lexington Av-53rd St,Queens Boulevard,Lexington Av-53rd St,-73.969055,40.757552,528017,4602,15820,0.008715628,0.029961157,3,TRUE,1,1,8,4,3,0
Times Square,Broadway-7th Ave,Times Square,-73.987495,40.75529,7433471,42617,185688,0.005733123,0.024979986,11,TRUE,1,1,10,2,2,0
Union Square,Broadway,Union Square,-73.990568,40.735736,479896,2542,13001,0.005296981,0.027091286,7,TRUE,1,1,5,7,4,2
West 4th St,8 Avenue,West 4th St,-74.000495,40.732338,3233907,19126,93085,0.005914208,0.028784068,7,TRUE,1,1,1,16,3,0
