ID,category,checkIns,createdAt,description,genCategory,lat,lon,name,photoCount,price,query,rating,tags,tileID,time,tips,users,verified
5168483ae4b0f8185f326cde,Village,523,2013.04.12 ,,Outdoors & Recreation,53.8231517258,27.4501991272,Щомыслица,32,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:53 ,2,247,False
4d7392fc4ab5224bf52ccf97,Café,2709,2011.03.06 ,,Food,53.8095210094,27.3972949905,Птичь,428,-1,Minsk2_Be,8.1,,0_00,2015.11.15 00:20:53 ,56,1696,False
4c5ea885d25320a10e48c97a,Lake,2370,2010.08.08 ,,Outdoors & Recreation,53.8097742684,27.3846244812,Птичь,207,-1,Minsk2_Be,6.9,,0_00,2015.11.15 00:20:53 ,9,1522,False
506596f5e4b08f044cd098ea,Museum,1163,2012.09.28 ,,Arts & Entertainment,53.8281925005,27.3754405975,Музей народнай архiтэктуры i побыту «Строчыцы» / Strochitsy museum of Folk Architecture,242,-1,Minsk2_Be,7.1,,0_00,2015.11.15 00:20:54 ,31,971,False
4ff2e34ce4b07a2fa5cfb855,Water Park,755,2012.07.03 ,,Arts & Entertainment,53.813894354,27.3928935261,Wakepark Птичь. Риксен.,62,-1,Minsk2_Be,8.4,,0_00,2015.11.15 00:20:54 ,2,275,False
50814753e4b07dd17b022b8c,Car Dealership,106,2012.10.19 ,Официальный дилер DAF Trucks N.V. в Республике Беларусь,Shop & Service,53.794903,27.376664,ТурботраксБел (DAF Belarus),10,-1,Minsk2_Be,7.2,,0_00,2015.11.15 00:20:55 ,2,26,False
5618e67e498e92e0c7d8b2bb,Palace,4,2015.10.10 ,,Outdoors & Recreation,53.816679,27.38712,тусоука на птиче🍸🚬🍸,0,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:55 ,0,4,False
51f5125e498e2c7bacada793,Village,44,2013.07.28 ,,Outdoors & Recreation,53.8242019675,27.3647052485,Строчица,3,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:55 ,0,30,False
52223f2111d2291c3ae159bc,Restaurant,50,2013.08.31 ,,Food,53.8122403531,27.3953464342,Усадьба Golg,4,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:55 ,0,46,False
5235a72f11d2607f8a418e1a,Gas Station / Garage,31,2013.09.15 ,,Shop & Service,53.8174746739,27.4284868785,МАЗС № 59,2,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:55 ,0,27,False
4fe768bde4b0ec3d85943c36,Platform,148,2012.06.24 ,,Travel & Transport,53.7973304144,27.3996019363,о.п. «Птичь»,2,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:55 ,0,101,False
523040a211d2534b5acfc643,Capitol Building,67,2013.09.11 ,,Professional & Other Places,53.7960895922,27.3786970999,"ПТО ""Белтаможсервис-ТЛЦ""",1,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:55 ,1,41,False
51c07dfc498e9cf44af37f85,Lake,73,2013.06.18 ,,Outdoors & Recreation,53.8138219965,27.3925710581,Птичь. Водные Лыжи,9,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:56 ,0,44,False
53aeffe8498e8cd0832e381c,Road,3,2014.06.28 ,,Travel & Transport,53.8021339315,27.3894413332,Любимый участок дороги,1,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:56 ,0,1,False
55f25797498e7a4cc256c48f,Road,2,2015.09.11 ,,Travel & Transport,53.800167018,27.4013111372,на пути в школу,2,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:56 ,0,1,False
5200b43b498e7c47cb6fa11e,Farm,5,2013.08.06 ,,Outdoors & Recreation,53.8006411163,27.3847091611,"РУ ЭО СХП ""Восход""",1,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:56 ,0,3,False
50f14e2ce4b0c79b179ef190,Eastern European Restaurant,189,2013.01.12 ,,Food,53.829395839,27.3747873097,Беларуская карчма,53,-1,Minsk2_Be,8.4,,0_00,2015.11.15 00:20:56 ,10,178,False
54c4f16e498e17b212954c8a,Residential Building (Apartment / Condo),17,2015.01.25 ,,Residence,53.7942407301,27.4527077321,Kristina's house,0,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:56 ,0,5,False
539c9706498e1b0751e3526f,Gun Range,1,2014.06.14 ,,Outdoors & Recreation,53.7938104198,27.4537231686,Свое место ✌️,0,-1,Minsk2_Be,-1.0,,0_00,2015.11.15 00:20:56 ,0,1,False
