zip,total,sub10k,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-60,60-75,75-100,100-125,125-150,150-200,above200
6390,132,0,1,1,0,0,0,0,1,0,3,7,0,15,22,54,28
10001,11169,894,463,664,314,355,239,336,417,440,505,554,1253,856,513,1076,2290
10002,32550,5110,3651,2698,2418,1488,1503,1216,1008,1003,2047,2444,2250,1533,1456,952,1773
10003,27564,1765,587,1014,854,760,578,448,811,606,1368,2116,3183,2507,1849,3320,5798
10004,1580,33,20,39,23,0,73,20,40,11,71,29,206,239,111,163,502
10005,4100,313,34,70,82,28,41,27,37,18,194,247,513,518,281,554,1143
10006,1686,112,76,16,0,0,19,9,20,49,143,33,169,284,138,134,484
10007,2646,72,17,0,16,23,0,24,54,16,41,190,128,86,75,411,1493
10009,29860,3379,2225,1731,1104,1162,997,765,1130,750,1518,2316,3684,2994,1355,2111,2639
10010,16019,1236,653,410,414,214,454,310,317,276,730,1295,1637,1441,1152,1499,3981
10011,29921,1328,1000,1016,825,790,835,951,698,671,1281,1865,2500,3102,1977,3234,7848
10012,12874,916,293,344,343,454,351,546,259,219,746,759,1375,1268,785,1592,2624
10013,11501,1121,535,571,535,296,220,187,304,193,654,472,689,913,674,873,3264
10014,18964,706,526,422,406,437,386,316,376,451,1003,1618,2270,1400,1264,1931,5452
10016,27939,1799,938,579,773,553,589,499,1067,561,1194,1906,2958,3049,2335,2991,6148
10017,10117,584,144,258,371,95,196,272,203,147,554,828,1345,918,889,904,2409
10018,4060,268,172,58,153,123,108,100,97,25,197,264,455,432,220,523,865
10019,23606,1624,1231,919,545,812,641,683,477,554,1122,1829,2514,1972,1654,2202,4827
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,23504,1263,816,425,467,435,594,596,501,831,994,1767,2145,1797,1434,2374,7065
10022,17552,815,309,609,418,299,295,651,141,375,632,1245,1787,1689,1308,1541,5438
10023,32247,2084,985,942,857,788,535,757,786,557,1049,1975,3224,2807,2360,3633,8908
10024,28943,1699,1038,689,727,535,857,596,864,741,1468,1809,2462,2747,1573,2960,8178
10025,43607,4610,2231,1648,1877,1666,1614,1189,1343,1095,1947,3216,4228,3162,2870,3569,7342
10026,14481,2106,1059,930,550,642,670,676,461,496,1052,1213,1054,954,696,907,1015
10027,22965,4526,1452,1498,961,888,1143,1012,703,969,1426,1516,2122,1193,945,1082,1529
10028,24848,757,810,584,1086,363,544,259,488,210,1565,1273,2771,2731,1690,2470,7247
10029,29198,5244,3242,2267,1815,1573,1650,1344,1306,874,1964,1865,1786,1373,764,804,1327
10030,12008,2420,1105,770,765,726,698,562,447,320,889,1069,588,615,224,385,425
10031,20969,3321,1704,1338,1068,1400,1056,870,966,1085,1501,1598,2028,1053,768,556,657
10032,19821,2817,1836,1537,1091,1212,1208,955,709,1015,1486,1866,2008,851,539,349,342
10033,19595,2180,1548,1450,1070,1018,1119,849,609,663,1476,1718,2066,1258,860,758,953
10034,15252,1597,1116,1069,1091,829,953,639,667,579,950,1403,2062,855,595,589,258
10035,13129,3069,1593,896,665,728,540,552,809,301,881,691,900,530,195,441,338
10036,14534,1164,941,579,499,659,746,430,593,278,540,1115,1289,1295,1008,1003,2395
10037,9040,1098,981,716,641,422,546,377,447,367,855,793,1049,267,162,162,157
10038,9578,1079,667,492,428,322,194,303,182,192,470,494,1104,623,597,776,1655
10039,10367,1762,978,785,531,575,802,616,518,343,665,1003,925,337,126,174,227
10040,15887,1742,840,1067,931,854,801,698,771,670,1399,1543,2011,1079,507,396,578
10044,4712,448,121,52,98,194,39,48,97,118,328,431,501,675,411,377,774
10065,17396,925,132,360,634,412,438,391,444,209,992,1203,1795,1460,1161,1608,5232
10069,2820,165,25,88,32,38,36,20,31,37,0,26,156,118,288,570,1190
10075,13567,750,231,427,280,215,356,227,300,259,721,1031,1723,1323,612,983,4129
10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,31919,1787,594,1131,763,754,906,614,1143,655,1235,2592,3679,2990,2487,2584,8005
10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10162,660,0,0,0,14,31,0,0,15,0,0,0,104,40,50,150,256
10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
