Location Name,BEDS Number,Zip
Amani Charter School,660900861000,10522
"Victory Schools, DBA The Charter School of Excellence",,10701
The Academy Charter School,,11550
EverGreen Charter School,,11561
P.S. 015 Roberto Clemente,310100010015,10009
P.S. 019 Asher Levy,310100010019,10003
P.S. 020 Anna Silver,310100010020,10002
P.S. 034 Franklin D. Roosevelt,310100010034,10009
The STAR Academy - P.S.63,310100010063,10009
P.S. 064 Robert Simon,310100010064,10009
P.S. 110 Florence Nightingale,310100010110,10002
P.S. 134 Henrietta Szold,310100010134,10002
P.S. 137 John L. Bernstein,310100010137,10002
P.S. 140 Nathan Straus,310100010140,10002
P.S. 142 Amalia Castro,310100010142,10002
P.S. 184m Shuang Wen,310100010184,10002
P.S. 188 The Island School,310100010188,10002
Henry Street School for International Studies,310100011292,10002
"Technology, Arts, and Sciences Studio",310100010301,10003
The East Village Community School,310100010315,10009
University Neighborhood Middle School,310100010332,10002
"Collaborative Academy of Science, Technology, & Language-Arts Education",310100010345,10002
The Children's Workshop School,310100010361,10009
Neighborhood School,310100010363,10009
Earth School,310100010364,10009
School for Global Leaders,310100010378,10002
University Neighborhood High School,310100011448,10002
East Side Community School,310100011450,10009
Forsyth Satellite Academy,310100011458,10002
Marta Valle High School,310100011509,10002
Lower East Side Preparatory High School,310100011515,10002
"New Explorations into Science, Technology and Math High School",310100011539,10002
Cascades High School,310100011650,10002
Bard High School Early College,310100011696,10002
Tompkins Square Middle School,310100010839,10009
P.S. 001 Alfred E. Smith,310200010001,10038
P.S. 002 Meyer London,310200010002,10002
P.S. 003 Charrette School,310200010003,10014
P.S. 006 Lillie D. Blake,310200010006,10028
P.S. 011 William T. Harris,310200010011,10011
P.S. 033 Chelsea Prep,310200010033,10001
P.S. 040 Augustus Saint-Gaudens,310200010040,10003
P.S. 041 Greenwich Village,310200010041,10011
P.S. 042 Benjamin Altman,310200010042,10002
47 The American Sign Language and English Secondary School,310200010047,10010
P.S. 051 Elias Howe,310200010051,10036
P.S. 059 Beekman Hill International,310200010059,10019
P.S. 77 Lower Lab School,310200010077,10128
P.S. 89,310200010089,10282
J.H.S. 104 Simon Baruch,310200010104,10010
P.S. 111 Adolph S. Ochs,310200010111,10019
East Side Middle School,310200010114,10128
P.S. 116 Mary Lindley Murray,310200010116,10016
P.S. 124 Yung Wing,310200010124,10002
P.S. 126 Jacob August Riis,310200010126,10038
P.S. 130 Hernando De Soto,310200010130,10013
M.S. 131,310200010131,10002
The Urban Assembly School for Emergency Management,310200011135,10038
Stephen T. Mather Building Arts & Craftsmanship High School,310200011139,10019
P.S. 150,310200010150,10013
Yorkville Community School,310200010151,10128
P.S. 158 Bayard Taylor,310200010158,10075
J.H.S. 167 Robert F. Wagner,310200010167,10021
Yorkville East Middle School,310200010177,10075
P.S. 183 Robert L. Stevenson,310200010183,10065
P.S. 198 Isador E. Ida Straus,310200010198,10128
P.S. 212 Midtown West,310200010212,10036
P.S./I.S. 217 Roosevelt Island,310200010217,10044
Ella Baker School,310200011225,10065
P.S. 234 Independence School,310200010234,10007
M.S. 255 Salk School of Science,310200010255,10003
M.S. 260 Clinton School Writers & Artists,310200010260,10003
"East Side Elementary School, PS 267",310200010267,10065
Battery Park City School,310200010276,10280
Manhattan Early College School for Advertising,310200011280,10038
The River School,310200010281,10016
Urban Assembly Maker Academy,310200011282,10038
Food and Finance High School,310200011288,10019
I.S. 289,310200010289,10282
P.S. 290 Manhattan New School,310200010290,10028
Essex Street Academy,310200011294,10002
High School of Hospitality Management,310200011296,10019
Pace High School,310200011298,10002
"Urban Assembly School of Design and Construction, The",310200011300,10019
"Facing History School, The",310200011303,10019
"Urban Assembly Academy of Government and Law, The",310200011305,10002
Lower Manhattan Arts Academy,310200011308,10002
New York City Lab Middle School for Collaborative Studies,310200010312,10011
"James Baldwin School, The: A School for Expeditionary Learning",310200011313,10011
"Urban Assembly School of Business for Young Women, the",310200011316,10004
Sixth Avenue Elementary School,310200010340,10011
The Peck Slip School,310200010343,10038
The 47 American Sign Language & English Lower School,310200010347,10010
Gramercy Arts High School,310200011374,10003
NYC iSchool,310200011376,10013
Pre-K Center District 02,,10004
MANHATTAN BUSINESS ACADEMY,310200011392,10011
Business Of Sports School,310200011393,10019
Emma Lazarus High School,310200011394,10002
Spruce Street School,310200010397,10038
The High School For Language And Diplomacy,310200011399,10003
High School for Environmental Studies,310200011400,10019
Institute for Collaborative Education,310200011407,10003
Professional Performing Arts High School,310200011408,10036
Baruch College Campus High School,310200011411,10010
N.Y.C. Lab School for Collaborative Studies,310200010412,10011
School of the Future High School,310200010413,10010
N.Y.C. Museum School,310200010414,10011
Eleanor Roosevelt High School,310200010416,10021
Millennium High School,310200010418,10004
Landmark High School,310200011419,10011
High School for Health Professions and Human Services,310200011420,10003
Quest to Learn,310200011422,10011
Leadership and Public Service High School,310200011425,10006
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,310200011427,10016
Murray Hill Academy,310200011432,10016
Hudson High School of Learning Technologies,310200011437,10011
International High School at Union Square,310200011438,10003
Manhattan Village Academy,310200011439,10010
"Ballet Tech, NYC Public School for Dance",310200011442,10003
Vanguard High School,310200011449,10065
Manhattan International High School,310200011459,10065
Stuyvesant High School,310200011475,10282
High School of Economics and Finance,310200011489,10006
Unity Center for Urban Technologies,310200011500,10016
Urban Assembly Gateway School for Technology,310200011507,10019
Talent Unlimited High School,310200011519,10065
Murry Bergtraum High School for Business Careers,310200011520,10038
P.S. 527 - East Side School for Social Action,310200010527,10128
Jacqueline Kennedy Onassis High School,310200011529,10036
Repertory Company High School for Theatre Arts,310200011531,10036
Union Square Academy for Health Sciences,310200011533,10003
Harvest Collegiate High School,310200011534,10011
Manhattan Bridges High School,310200011542,10019
New Design High School,310200011543,10002
Independence High School,310200011544,10019
High School for Dual Language and Asian Studies,310200011545,10002
Academy for Software Engineering,310200011546,10003
Liberty High School Academy for Newcomers,310200011550,10011
Urban Assembly New York Harbor School,310200011551,10004
High School M560 - City As School,310200011560,10014
Urban Academy Laboratory High School,310200011565,10065
Satellite Academy High School,310200011570,10001
Manhattan Comprehensive Night and Day High School,310200011575,10003
Richard R. Green High School of Teaching,310200011580,10004
Harvey Milk High School,310200011586,10003
The High School of Fashion Industries,310200011600,10011
Humanities Preparatory Academy,310200011605,10011
Chelsea Career and Technical Education High School,310200011615,10013
High School of Graphic Communication Arts,310200011625,10019
Art and Design High School,310200011630,10019
Life Sciences Secondary School,310200011655,10128
Lower Manhattan Community Middle School,310200010896,10004
City Knoll Middle School,310200010933,10001
P.S. 009 Sarah Anderson,310300010009,10024
J.H.S. 054 Booker T. Washington,310300010054,10025
P.S. 075 Emily Dickinson,310300010075,10025
P.S. 076 A. Philip Randolph,310300010076,10027
P.S. 084 Lillian Weber,310300010084,10025
P.S. 087 William Sherman,310300010087,10024
"P.S. 145, The Bloomingdale School",310300010145,10025
P.S. 149 Sojourner Truth,310300010149,10026
P.S. 163 Alfred E. Smith,310300010163,10025
P.S. 165 Robert E. Simon,310300010165,10025
P.S. 166 The Richard Rodgers School of The Arts and Technology,310300010166,10024
P.S. 180 Hugo Newman,310300010180,10027
P.S. 185 - The Early Childhood Discovery and Design Magnet School,310300010185,10026
P.S. 191 Amsterdam,310300010191,10023
P.S. 199 Jessie Isador Straus,310300010199,10023
P.S. 208 Alain L. Locke,310300010208,10026
STEM Institute of Manhattan,310300010241,10026
P.S. 242 - The Young Diplomats Magnet Academy,310300010242,10027
M.S. 243 Center School,310300010243,10024
M.S. M245 The Computer School,310300010245,10024
M.S. M247 Dual Language Middle School,310300010247,10025
M.S. 250 West Side Collaborative Middle School,310300010250,10025
M.S. 256 Academic & Athletic Excellence,310300010256,10025
Community Action School - MS 258,310300010258,10025
West End Secondary School,310300011291,10023
"High School for Arts, Imagination and Inquiry",310300011299,10023
"Urban Assembly School for Media Studies, The",310300011307,10023
P.S. 333 Manhattan School for Children,310300010333,10025
The Anderson School,310300010334,10024
The Urban Assembly School for Green Careers,310300011402,10024
The Global Learning Collaborative,310300011403,10024
Innovation Diploma Plus,310300011404,10024
Wadleigh Secondary School for the Performing & Visual Arts,310300011415,10026
Frank Mccourt High School,310300011417,10024
West Prep Academy,310300010421,10025
P.S. 452,310300010452,10024
Beacon High School,310300011479,10036
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,310300011485,10023
"High School for Law, Advocacy and Community Justice",310300011492,10023
High School of Arts and Technology,310300011494,10023
