DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
01M015,P.S. 015 ROBERTO CLEMENTE,63,278.0317,32,25,4,2,63,278.9048,38,23,1,1
01M019,P.S. 019 ASHER LEVY,104,307.8558,27,33,28,16,103,301.2427,31,39,27,6
01M020,P.S. 020 ANNA SILVER,233,297.7682,86,67,50,30,229,289.6157,103,80,37,9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,264,297.7727,89,102,57,16,264,291.5682,97,115,40,12
01M063,THE STAR ACADEMY - P.S.63,53,300.7358,14,22,11,6,51,290,16,24,11,0
01M064,P.S. 064 ROBERT SIMON,113,293.5044,39,49,22,3,112,288.3125,53,41,18,0
01M110,P.S. 110 FLORENCE NIGHTINGALE,167,320.9162,28,38,46,55,167,306.3892,48,46,55,18
01M134,P.S. 134 HENRIETTA SZOLD,138,303.3188,32,60,33,13,138,291.6812,50,69,18,1
01M137,P.S. 137 JOHN L. BERNSTEIN,85,271.2941,54,23,6,2,80,272.55,52,24,3,1
01M140,P.S. 140 NATHAN STRAUS,257,285.1984,131,85,36,5,255,284.3098,110,119,22,4
01M142,P.S. 142 AMALIA CASTRO,155,291.6129,67,55,26,7,153,285.0719,77,60,13,3
01M184,P.S. 184M SHUANG WEN,375,343.7787,11,50,124,190,374,326.7487,27,84,167,96
01M188,P.S. 188 THE ISLAND SCHOOL,311,287.0482,137,127,35,12,302,281.7848,149,125,25,3
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,57,260.4386,44,11,2,0,59,264.3729,44,13,2,0
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",143,277.007,92,37,12,2,139,284.5971,57,68,12,2
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,75,322.9467,18,6,25,26,78,305.6538,20,18,26,14
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,95,276.0421,59,21,13,2,91,278.8242,43,31,13,4
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",138,293.6812,53,61,19,5,138,293.7174,39,70,23,6
01M361,THE CHILDREN'S WORKSHOP SCHOOL,105,308.4381,24,32,34,15,104,305.625,31,31,32,10
01M363,NEIGHBORHOOD SCHOOL,74,311.2162,15,25,22,12,76,299.1711,25,28,19,4
01M364,EARTH SCHOOL,70,314.7,10,23,28,9,70,315,9,23,31,7
01M378,SCHOOL FOR GLOBAL LEADERS,219,293.9817,88,90,27,14,218,288.4174,86,104,21,7
01M450,EAST SIDE COMMUNITY SCHOOL,234,310.5897,37,110,57,30,237,305.7806,43,108,60,26
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",588,359.284,2,27,127,432,763,350.9043,1,38,249,475
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,337,316.1543,63,109,97,68,340,309.7794,53,147,98,42
02M001,P.S. 001 ALFRED E. SMITH,211,317.7441,41,42,67,61,216,299.1528,75,70,48,23
02M002,P.S. 002 MEYER LONDON,374,326.7674,45,71,134,124,373,304.1233,98,135,102,38
02M003,P.S. 003 CHARRETTE SCHOOL,328,329.311,26,67,120,115,328,322.7744,35,95,128,70
02M006,P.S. 006 LILLIE D. BLAKE,354,341.4746,10,54,117,173,356,329.4635,18,86,158,94
02M011,P.S. 011 WILLIAM T. HARRIS,335,324.5313,45,71,114,105,331,318.1601,62,73,129,67
02M033,P.S. 033 CHELSEA PREP,233,327.0644,33,51,59,90,233,315.8369,41,67,86,39
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,266,337.0338,13,39,103,111,265,328.1585,28,50,122,65
02M041,P.S. 041 GREENWICH VILLAGE,381,340.7402,13,59,126,183,379,328.8707,31,75,154,119
02M042,P.S. 042 BENJAMIN ALTMAN,358,344.0056,13,50,100,195,346,313.1734,59,121,119,47
02M051,P.S. 051 ELIAS HOWE,143,307.6294,36,52,31,24,140,303.0214,41,55,33,11
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,276,338.1159,12,35,99,130,272,329.5662,24,57,110,81
02M077,P.S. 77 LOWER LAB SCHOOL,175,354.5886,7,4,38,126,176,347.5909,7,7,67,95
02M089,P.S. 89,172,334.2035,6,42,52,72,173,326.4277,12,42,80,39
02M104,J.H.S. 104 SIMON BARUCH,919,322.9151,133,241,280,265,970,314.9856,109,358,335,168
02M111,P.S. 111 ADOLPH S. OCHS,320,292.9688,135,104,60,21,307,286.4625,135,118,37,17
02M114,EAST SIDE MIDDLE SCHOOL,434,354.3203,4,32,109,289,434,336.7074,9,72,154,199
02M116,P.S. 116 MARY LINDLEY MURRAY,345,328.6812,27,72,124,122,338,322.9201,44,80,139,75
02M124,P.S. 124 YUNG WING,420,337.6929,17,65,142,196,420,322.7952,51,107,180,82
02M126,P.S. 126 JACOB AUGUST RIIS,424,325.4222,61,93,113,157,531,315.1827,74,187,167,103
02M130,P.S. 130 HERNANDO DE SOTO,431,338.9977,22,61,143,205,426,325.3052,33,136,151,106
02M131,M.S. 131,414,316.6256,74,126,133,81,381,283.168,178,140,46,17
02M150,P.S. 150,79,324.2278,7,20,30,22,78,326.1026,6,24,25,23
02M151,YORKVILLE COMMUNITY SCHOOL,151,315.351,31,38,43,39,149,307.9262,38,48,47,16
02M158,P.S. 158 BAYARD TAYLOR,328,338.8171,13,46,110,159,324,331.2901,20,67,140,97
02M167,J.H.S. 167 ROBERT F. WAGNER,1292,326.7028,164,368,349,411,1274,315.6515,133,502,404,235
02M183,P.S. 183 ROBERT L. STEVENSON,298,329.3456,29,65,81,123,290,327.1034,33,57,114,86
02M198,P.S. 198 ISADOR E. IDA STRAUS,230,305.1739,73,64,48,45,228,296.3684,92,71,51,14
02M212,P.S. 212 MIDTOWN WEST,162,336.3025,7,28,56,71,161,332.1429,5,37,70,49
