Name,ELA_NumTested,ELA_L1,ELA_L2,ELA_L3,ELA_L4,ELA_meanscore,M_NumTested,M_L1,M_L2,M_L3,M_L4,M_meanscore
ACADEMIC LEADERSHIP CHARTER SCHOOL,154,37,58,50,9,306.2792,153,20,52,49,32,318.0196
ACADEMY OF THE CITY CHARTER SCHOOL,56,27,16,13,0,285.5714,56,26,15,10,5,289.875
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,130,32,58,38,2,303.3385,131,16,68,36,11,306.0229
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,325,59,151,93,22,307.6554,326,42,112,123,49,314.3589
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,531,94,252,143,42,307.3898,530,41,147,198,144,326.5075
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,494,115,256,106,17,301.0425,493,77,197,160,59,312.714
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,466,76,233,124,33,307.2146,465,52,147,203,63,318.9247
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,424,88,202,112,22,304.191,425,46,139,184,56,318.0918
AMBER CHARTER SCHOOL,185,43,87,48,7,303.9514,186,23,59,60,44,319.7634
BEDFORD STUYVESANT COLLEGIATE -UNCOMMON COLLEGIATE CHARTER HIGH SCHOOL,280,67,145,60,8,299.2107,279,42,97,103,37,316.1541
BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,217,69,97,44,7,298.0184,218,78,85,41,14,295.3578
BEGINNING WITH CHILDREN CHARTER SCHOOL,253,79,129,41,4,293.7115,251,88,111,34,18,296.757
BRONX ACADEMY OF PROMISE CHARTER SCHOOL,475,128,226,104,17,299.9011,475,84,203,136,52,309.8021
BRONX CHARTER SCHOOL FOR BETTER LEARNING,187,35,67,72,13,310.1658,187,17,44,66,60,326.0107
BRONX CHARTER SCHOOL FOR CHILDREN,210,92,85,30,3,289.8429,208,67,89,44,8,297.125
BRONX CHARTER SCHOOL FOR EXCELLENCE,330,28,132,138,32,316.0545,329,19,85,142,83,327.7933
