FID,OBJECTID,BoroCode,BoroName,CountyFIPS,PjAreaCode,PjAreaName,SHAPE_Leng,Shape_Le_1,Shape_Area,Name,EditName
0,3,1,Manhattan,061,MN12,Upper West Side,23815.836601899999000,23815.836601800002000,27870795.263200000000000,Upper West Side, 
1,4,1,Manhattan,061,MN50,StuyvesantTown-CooperVillage,10258.517828300000000,10258.517828300000000,5104527.218930000400000,StuyvesantTown-CooperVillage,
2,6,1,Manhattan,061,MN24,SoHo-Tribeca-CivcCentr-LittleItaly,20671.518956299999000,20671.518956299999000,23989359.052999999000000,SoHo-Tribeca-CivcCentr-LittleItaly,
3,8,1,Manhattan,061,MN15,Clinton,17878.882523699998000,17878.882523799999000,16433186.111099999000000,Clinton,
4,9,1,Manhattan,061,MN17,Midtown - Midtown South,27020.310229600000000,27020.310229499999000,30185073.472600002000000,Midtown - Midtown South,
5,10,1,Manhattan,061,MN34,East Harlem North,29217.739728000000000,29217.739728000000000,24487992.315299999000000,East Harlem North,
6,12,1,Manhattan,061,MN35,Washington Heights North,20602.339169999999000,20602.339170100000000,19206459.916000001000000,Washington Heights North,
7,14,1,Manhattan,061,MN19,Turtle Bay - East Midtown,20269.299358100001000,20269.299358100001000,17113947.304699998000000,Turtle Bay - East Midtown,
8,15,1,Manhattan,061,MN21,Gramercy,12096.539460100001000,12096.539460200000000,7533546.097369999600000,Gramercy,
9,16,1,Manhattan,061,MN40,UpperEastSide - CarnegieHill,23778.301950900001000,23778.301951000001000,20065941.289200000000000,UpperEastSide - CarnegieHill,
10,17,1,Manhattan,061,MN23,West Village,20152.527260899999000,20152.527260899999000,23055971.093199998000000,West Village,
11,18,1,Manhattan,061,MN28,Lower East Side,22895.971801700001000,22895.971801700001000,23212578.011300001000000,Lower East Side,
12,19,1,Manhattan,061,MN27,Chinatown,20793.802094499999000,20793.802094499999000,14454604.002300000000000,Chinatown,
13,20,1,Manhattan,061,MN11,Central Harlem South,16604.297128800001000,16604.297128800001000,14434795.389000000000000,Central Harlem South,
14,21,1,Manhattan,061,MN22,East Village,13541.823926400000000,13541.823926300000000,10895375.071799999000000,East Village,
15,22,1,Manhattan,061,MN13,HudsnYds-Chelsea-Flatirn-UnionSq,29469.715772600000000,29469.715772700001000,34381873.949199997000000,HudsnYds-Chelsea-Flatirn-UnionSq,
16,25,1,Manhattan,061,MN20,Murray Hill - Kips Bay,32603.717578299998000,32603.717578399999000,15138338.731400000000000,Murray Hill - Kips Bay,
17,26,1,Manhattan,061,MN25,BatteryParkCity-LowerManhattan,23847.878640300001000,23847.878640200001000,16282409.592800001000000,BatteryParkCity-LowerManhattan,
18,28,1,Manhattan,061,MN09,Morningside Heights,19810.730546999999000,19810.730546999999000,15352698.201600000000000,Morningside Heights,
19,74,3,Brooklyn,047,BK69,Clinton Hill,23970.530357299998000,23970.530357500000000,20530179.505899999000000,Clinton Hill,
20,78,3,Brooklyn,047,BK61,Crown Heights North,35655.618466400003000,35655.618466400003000,51625136.915200002000000,Crown Heights North,
21,79,3,Brooklyn,047,BK09,Brooklyn Heights - Cobble,20513.720281000002000,20513.720281099999000,13438112.472400000000000,Brooklyn Heights - Cobble,
22,81,3,Brooklyn,047,BK37,Park Slope - Gowanus,31450.939753700000000,31450.939753600000000,42480415.163300000000000,Park Slope - Gowanus,
23,87,3,Brooklyn,047,BK77,Bushwick North,26394.694008200000000,26394.694008200000000,24946901.574299999000000,Bushwick North,
24,89,3,Brooklyn,047,BK72,Williamsburg,16915.177899300001000,16915.177899200000000,11585352.882400000000000,Williamsburg,
25,90,3,Brooklyn,047,BK68,Fort Greene,19933.927327800000000,19933.927327900001000,16492408.624500001000000,Fort Greene,
26,93,3,Brooklyn,047,BK38,DUMBO-VingrHl-DwntnBrkl-BoermHl,32294.800236200001000,32294.800236300001000,28641899.836500000000000,DUMBO-VingrHl-DwntnBrkl-BoermHl,
27,96,3,Brooklyn,047,BK75,Bedford,29992.920586799999000,29992.920586799999000,32629835.536899999000000,Bedford,
28,102,3,Brooklyn,047,BK76,Greenpoint,27590.950181400000000,27590.950181200002000,31856188.469599999000000,Greenpoint,
29,106,3,Brooklyn,047,BK90,East Williamsburg,49243.131358300001000,49243.131358200000000,39170567.181900002000000,East Williamsburg,
30,112,3,Brooklyn,047,BK33,CarrollGrdns-Columbia-RedHook,45671.781107100003000,45671.781107000003000,43089677.499799997000000,CarrollGrdns-Columbia-RedHook,
31,115,3,Brooklyn,047,BK64,Prospect Heights,15027.505025200000000,15027.505025000000000,10259233.232799999000000,Prospect Heights,
