TEL,NAME,URL,ADDRESS1,ADDRESS2,CITY,ZIP
(212) 396-1822,O'reilly William & Co Ltd,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,52 E 76th St,,New York,10021
(212) 219-9213,Organization of Independent Artists - Gallery 402,http://www.nonprofitgallery.com/main/usa/ny/oia.html,19 Hudson St.,,New York,10013
(212) 879-2415,Owen Gallery,http://www.owengallery.com/about-us,19 E 75th St,,New York,10021
(212) 647-1044,P P O W Gallerie,http://www.ppowgallery.com/,511 W 25th St,,New York,10001
(212) 941-8642,P P O W Inc,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,476 Broome St,,New York,10013
(212) 228-4249,P S 122 Gallery,http://ps122gallery.org/,150 1st Ave,,New York,10009
(212) 645-9806,Pace Editions,http://www.ziplocal.com/companies/103327232-Pace-Editions,44 W 18th St,,New York,10011
(212) 759-7999,Pace MacGill Gallery,http://www.pacemacgill.com/exhibitions.html,32 E. 57th St.,9th Fl.,New York,10022
(212) 421-3237,Pace Prints & Primitive Gallery,http://www.paceprints.com/,32 E. 57th St.,3rd Fl.,New York,10022
(212) 929-7000,Pace Wildenstein,http://www.pacewildenstein.com/,534 W 25th St,,New York,10001
(212) 421-3292,Pace Wildenstein,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,32 E 57th St,Fl 4,New York,10022
(212) 531-1577,Paige's Art Gallery,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,3163 Broadway,,New York,10027
(212) 713-2885,PaineWebber Gallery,http://www.tfaoi.com/aa/1aa/1aa458.htm,1285 Sixth Ave.,,New York,10019
(718) 937-7360,Paint Can Studios,http://ny.serviceslisted.com/1655944-PaintCanStudios.htm,3608 34th St,,Astoria,11106
(212) 333-4747,Paley Barbara K,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,1776 Broadway,,New York,10019
(212) 758-3340,Pall William Inc,http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html,188 E 64th St,,New York,10021
(212) 828-9100,Palmer Meredith Gallery,http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/,40 E 94th St,,New York,10128
(212) 628-1974,Pandora Old Masters,http://www.salondudessin.com/an/anpandora.html,212 E 70th St,,New York,10021
(646) 935-0837,Pardo Sheenan Galleries Ltd,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,121 E 31st St,,New York,10016
(718) 388-2882,Parker's Box,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,193 Grand St,,Brooklyn,11211
(212) 229-8987,Parsons Galleries,http://www.parsonswest.com/,2 W. 13th St.,,New York,10011
(212) 252-9922,Patricia Laligant Photographs,http://www.patricialaligant.com/intro.htm,150 W 28th St,,New York,10001
(212) 741-7453,Patrick's Gallery,http://outalot.com/listings/318942-Patricks-Gallery,220 W 19th St,,New York,10011
(212) 563-4474,Paul Kasmin Gallery,http://www.paulkasmingallery.com/,293 10th Ave,,New York,10001
(212) 255-1105,Paula Cooper Gallery,http://www.paulacoopergallery.com/,534 W. 21st St.,,New York,10011
(212) 396-2442,Peck Ian Fine Paintings Ltd,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D01E8-3048-28EB-92857B8592DAED09,980 Madison Ave,,New York,10021
(646) 638-0878,Peder Bonnier Inc,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,206 W 23rd St,Fl 4,New York,10011
(212) 675-1585,Perimeter Gallery,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,511 W 25th St,,New York,10001
(212) 644-7171,Perlow Rich Katharina Gallery Inc,http://www.artnet.com/katharinarichperlow.html,41 E 57th St,,New York,10022
(212) 371-1196,Peter L Villa Fine Art,http://peterlvillafineart.com/,110 E 57th St,,New York,10022
(212) 759-8173,Peter Rose Gallery,http://peterrosegallery.com/,200 E 58th St,Apt 20C,New York,10022
(212) 628-9760,Peters Gerald Gallery,http://www.gpgallery.com/,24 E 78th St,,New York,10075
(718) 423-3458,Phoenix Design Ltd,http://www.topix.net/yp/flushing-ny/2161581053-phoenix-design-ltd,21415 41st Ave,,Bayside,11361
(212) 226-8711,Phoenix Gallery,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,210 ELEVENTH AVENUE,SUITE 902,New York,10001
