NAME,TEL,URL,ADDRESS1,ADDRES2,CITY,ZIP
45th Street Theater,(212) 352-3101,http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/,354 West 45th Street,,New York,10036
47th Street Theater,(800) 775-1617,http://www.bestofoffbroadway.com/theaters/47streettheatre.html,304 West 47th Street,,New York,10036
59E59,(212) 753-5959,http://www.59e59.org/,59 East 59th Street,,New York,10022
Acorn Theater,(212) 279-4200,http://www.theatrerow.org/theacorn.htm,410 West 42nd Street,,New York,10036
Al Hirschfeld Theater,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php,302 W 45th Street,,New York,10036
Ambassador Theatre,(800) 432-7565,http://www.shubertorganization.com/theatres/ambassador.asp,219 West 49th Street,,New York,10019
American Airlines Theatre,(212) 719-9393,http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php,227 W 42nd Street,,New York,10036
Apollo Theater,(212) 531-5300,http://www.apollotheater.org/,253 West 125th Street,,New York,10027
Arclight Theatre,(212) 595-0355,http://www.nytheatre.com/nytheatre/arclight.htm,152 W 71st St,,New York,10023
Astor Place Theatre,(212) 254-4370,http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php,434 Lafayette St,Frnt,New York,10003
Atlantic Theatre,(212) 645-1242,http://www.atlantictheater.org/,336 W 20th St,,New York,10011
August Wilson Theatre,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,245 W 52nd Street,,New York,10019
Barrow Street Theatre,(212) 243-6262,http://www.barrowstreettheatre.com/index.asp,27 Barrow St,,New York,10014
Beacon Theatre,(212) 465-6500,http://www.beacontheatre.com/,2124 Broadway,,New York,10023
Belasco Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/belasco.asp,111 W 44th St,,New York,10036
Bernard B. Jacobs Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/bernard_b_jacobs.asp,242 W 45th Street,,New York,10036
Bleecker Street Theater,(212) 260-8250,http://www.45bleecker.com/,45 Bleecker Street,,New York,10012
Booth Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/booth.asp,222 W 45th St,,New York,10036
Broadhurst Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadhurst.asp,235 W 44th St,,New York,10036
Broadway Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadway.asp,1681 Broadway,,New York,10019
Brooks Atkinson Theatre,(212) 719-4099,http://www.brooksatkinsontheater.com/,256 W 47th St,,New York,10036
Castillo Theater,(212) 941-9400,http://www.castillo.org/,543 West 42nd Street,,New York,10036
Century Center For the Performing Arts,(212) 239-6200,http://www.theatermania.com/new-york/theaters/century-center-for-the-performing-arts_59/,111 E 15th St,,New York,10003
