Precinct,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,CrimeNorm
1,0.211682953,38.06788002,0.7402654,13.8638844,0.5471527,0.3138082,0.2092055,0.0160927,30.2704196,2.0196372,2.38977,50.5955339,26.19091331
5,0.78906511,49.5119932,2.0829927,20.7249023,0.9014632,0.6651573,0.6126449,0.0787686,64.8440883,4.3410268,3.0019601,97.6731037,19.56962902
6,0.173287101,45.54082858,1.1739746,12.2207496,0.4483931,0.3261041,0.3342567,0.0326104,40.1107993,3.8887909,2.290881,61.1526638,25.50133746
7,1.389044409,38.65236731,1.0344835,7.8442128,0.4018857,0.2828084,0.3274624,0.0520963,28.6083055,1.1237914,0.8781946,40.6872024,12.77847567
9,3.277879454,107.2950429,2.5546095,19.4323939,0.9176753,0.694457,0.73166,0.0992081,77.7543777,4.7743916,2.6414167,110.0218244,37.93471154
10,0.468127349,52.00231302,2.0886829,22.0929703,0.3162442,0.411853,0.3015352,0.0220636,38.1846543,3.5375229,4.221493,71.456491,16.21671086
13,1.332218296,156.3412187,3.6165328,32.3300533,1.0645439,1.1082923,0.845802,0.0437484,87.1467742,8.9246697,4.2727585,140.0385664,64.70385497
14,0.134448998,15.71900596,0.6921423,10.9307831,0.1012891,0.1730356,0.1055095,0,12.6737999,1.2407916,1.0761968,27.0568535,31.48403162
17,0.155884055,48.59770681,1.1227537,18.2514836,0.4580835,0.4491015,0.2245507,0,21.9341156,2.5688604,1.1586818,46.2933791,15.7724435
18,0.218879725,33.58301023,1.7204623,19.2253838,0.2877864,0.3566049,0.1438932,0.0062562,24.1427777,2.4712094,3.8037857,52.3395902,31.50635624
19,0.979115404,208.0969496,4.7463294,39.1763563,1.4545203,0.7846754,0.8229523,0.0765537,69.8552518,4.0764846,3.9807924,125.1653004,71.74995586
20,0.381849205,52.28593617,1.9040185,15.0653013,0.2846213,0.4318393,0.0883308,0.0196291,22.5734156,2.0316074,4.8385626,47.4925036,23.19173092
22,2.719956339,99.37472342,7.252619,56.0393619,1.8494839,1.4795871,0.8983207,0.1585272,116.9930667,6.6052996,9.8815282,201.8183244,2.483592654
23,5.97656854,61.50039865,2.5597246,13.6712561,0.7271945,0.1842226,0.2908778,0.0484796,42.2257592,2.0652323,0.9502008,62.8780823,25.04457773
24,0.951168907,77.14389888,1.5909575,11.2464236,0.4279127,0.4608291,0.1974982,0.0768048,38.303673,1.3824872,1.2947102,55.2007388,26.08073069
25,3.492601706,29.7262384,2.574504,15.4619486,0.8730927,0.2014829,0.3283425,0.0596986,46.1843629,2.1043772,0.880555,68.9146214,21.23033003
26,3.88384796,38.51017979,2.5726635,17.9647421,0.9395051,1.9316927,0.3512169,0.0965846,65.7565755,1.4575499,1.4048674,92.817834,12.68770884
28,2.904318534,33.43327419,2.6588916,16.3062997,0.9412006,0.3294202,0.4000102,0.0941201,55.1857262,2.0157379,0.9725739,79.1628104,18.65145776
30,4.098584326,53.72061774,1.7644675,12.1316946,0.7528395,1.411574,0.2901569,0.101947,56.4943295,0.3372094,0.6901029,74.1860574,13.59816316
32,5.298244954,70.15320634,2.628044,16.8945685,1.0477252,1.615243,0.3579728,0.1222346,71.1754637,1.5803188,0.9953389,96.7923443,21.96730454
33,5.629205501,86.1707823,1.3657561,10.8551004,0.4256902,0.1152911,0.390216,0.0886855,64.5364099,0.2305822,1.0819626,79.2670649,16.94779157
34,7.59074535,153.7655316,1.2862843,10.0758935,0.3949118,0.2143807,0.4738942,0.0338496,75.8907724,0.2707967,1.0042044,89.8142356,27.38431529
40,18.53211573,100.3869985,4.0060916,33.7295216,1.453314,0.1895627,0.6192381,0.0505501,32.3646702,0.8593509,0.8593509,74.3338502,61.72161245
41,9.045867071,46.80437785,3.3202911,27.683138,1.7865526,0.1432613,0.3202311,0.0674171,18.1351942,0.3960753,0.6151808,52.5600401,26.70559037
42,19.6638187,90.29029429,3.7901366,33.7422777,1.2186575,0.2571479,0.5142958,0.1006231,35.6764772,0.715542,0.8049848,77.0325691,37.21936468
43,19.79474851,186.4072571,10.1454435,113.6710372,11.4399179,0.6795991,0.6148754,0.4207042,44.8535395,0.7443228,1.7799024,184.8185889,92.02095211
44,48.47283685,301.1564727,6.7816168,66.8366013,1.8837824,0.43327,1.2621342,0.1318648,74.2963798,1.2056208,1.6388907,154.9411064,104.5499259
45,5.393256771,127.3459058,3.749176,60.4179054,8.0600752,0.2612666,0.3265833,0.2090133,13.2984709,0.2220766,0.9666865,87.8900903,38.65439612
46,36.86310764,223.9250993,6.3340187,54.2406113,1.3827787,0.3419775,1.0408012,0.1040801,63.7119022,0.6393493,1.3976473,129.4905382,62.32912345
47,17.88745811,310.4840964,7.4412236,112.3270425,12.9055808,0.2797452,0.6340892,0.0932484,40.5817108,0.5408408,1.6598218,176.9108957,77.60133219
48,20.2758015,88.45516085,2.9559372,21.4386651,0.8228983,0.1407589,0.303173,0.0757933,24.2105329,0.3464835,0.4331043,50.8356226,40.84173978
49,7.260443474,246.7674221,9.2374974,116.3718242,11.2673385,0.6020715,0.5848695,0.2408286,47.1680032,0.5504654,2.1330534,188.4655884,50.8320385
50,5.303184991,89.89255516,3.6143568,43.3612282,2.7632697,0.2321147,0.4421232,0.0663185,32.0318224,0.276327,0.7737155,83.7712843,24.44941034
52,36.01060461,255.7522685,11.8872171,123.4903466,7.9025819,0.6502124,1.3004249,0.2000654,81.7933901,0.8336057,2.0339979,230.541989,84.71101
60,2.322358609,54.19136837,2.6062336,67.9298999,5.8344094,0.1579536,0.404756,0.0394884,10.9382835,0.7700236,0.4343723,89.2832458,30.80094283
61,2.359148557,157.7190606,8.4854739,266.9880968,31.3461283,0.6981719,0.7518774,0.2864295,45.005235,1.9871046,1.5037549,357.6251314,56.65933528
62,3.981481917,165.1737854,6.7394882,265.1157123,13.426461,0.4026188,0.9802892,0.4376291,44.6381688,1.0853202,1.1028253,334.6287195,48.97944953
63,5.148735899,85.25451632,4.1340514,113.8710766,17.0365808,0.2144465,0.309756,0.154878,22.0284181,0.6790805,0.4527203,159.1788506,29.89145544
66,19.06728958,193.6709896,8.7602523,342.8178725,18.3424542,0.8219496,1.2329244,0.346084,90.6740186,2.5956303,4.1746387,470.6742952,51.69630356
67,13.24983886,242.0478483,9.7675972,198.0270334,23.3542369,0.580776,0.6687724,0.2463898,76.0288646,1.5311369,0.9855594,311.7711427,79.86550637
68,5.683207166,100.572043,2.7132654,101.6389223,4.8024798,0.1356633,0.4476888,0.2848929,26.0744806,0.5155204,1.8178878,138.7156942,27.71600618
69,4.409787861,61.64502592,4.5855614,82.5401053,11.2641176,0.1807586,0.3615173,0.1141634,22.756562,0.713521,0.3044356,123.0585825,21.24389754
70,17.81040607,262.1214216,9.7285553,267.6366107,18.9301472,0.9120521,0.689106,0.0810713,90.5971715,1.9659789,1.6619615,393.0944388,79.75388588
